,cif,nodes_cansmi,linkers_cansmi,rcsr
12,hMOF-22769,['[Zn][Zn]'],"['CCCC(=CC(=O)[O-])C(=CC(=O)[O-])CCC', 'CCCN=C(CCC)C=N']",sql
13,hMOF-5074125,['[Cu][Cu]'],"['N#Cc1cc(C#CC(=O)[O-])c(cc1C#CC(=O)[O-])C#N', 'N#Cc1cc(C=Cc2c(C#N)c(C#N)c(c(c2C#N)C#N)C(=O)[O-])c(c(c1C(=O)[O-])C#N)C#N', 'N#Cc1c(ccnc1C#N)C=Cc1c(C#N)cnc(c1C#N)C#N']",pcu
14,hMOF-5071939,['[Cu][Cu]'],"['[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])O)O)O', 'Oc1cc(C(=O)[O-])c(cc1N=Nc1ccc(c(c1O)O)C(=O)[O-])O', 'OC1=NC=C(C(=N[N]c2c(O)cncc2O)[C]1O)O']",pcu
15,hMOF-1002155,['[O][V]12([O])O[V][V]O[V]3([O]1[O]23)([O])[O]'],['[O-]C(=O)[C][O]'],
16,hMOF-5037188,['[Zn][Zn]'],"['BrC(=NBr)C=N', '[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'BrC(=CC=C(C(=O)[O-])Br)C(=O)[O-]']",pcu
17,hMOF-1002925,['[V]'],"['[O]', '[O-]C(=O)C1=[C]C2(C(=C[CH]c3c2cc(Br)c2c3[C]=C(C(=C2)Br)C(=O)[O-])C(=C1)Br)Br', '[O-]C(=O)C1=CC(=C2C([C]1)(Br)c1cc(Br)c3c(c1C=C2)[C]=C(C(=C3)Br)C(=O)[O-])Br', 'Brc1cc(C(=O)[O-])c(cc1C1=C[C]=C([C]=C1)c1ccc(cc1)C(=O)[O-])Br']",rna
18,hMOF-26470,['[Zn][Zn]'],"['[O-]C(=O)c1cc2cc(N)c3c4c2c(c1)c(N)cc4cc(c3N)C(=O)[O-]', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4c(c(c3)C(=O)[O-])N', 'Nc1ccc2c(c1N)nccn2']",pcu
19,hMOF-5019096,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])O)O)O', 'OC(=C(C#CC(=O)[O-])O)C#CC(=O)[O-]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]']",pcu
20,hMOF-5064643,['[Cu][Cu]'],"['[O-]C(=O)C=CC=C(C(=O)[O-])F', 'FC(=N)C(=N)F', '[O-]C(=O)C#CC=CC#CC(=O)[O-]']",pcu
21,hMOF-5038864,['[Zn][Zn]'],"['[O-]C(=O)C#CC(=O)[O-]', 'BrC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'N#N']",
22,hMOF-36455,['[Cu][Cu]'],"['OC1=[N]=C(O)C2=C(O)[CH]c3c4c2c1cc(O)c4cnc3', '[O-]C(=O)C#Cc1ccc(c(c1)O)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1cc(O)c(cc1O)C#CC(=O)[O-]']",pcu
23,hMOF-5077679,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'CCOc1cc(ccc1c1nnc(nn1)c1c(OCC)cc(c(c1OCC)OCC)C(=O)[O-])C(=O)[O-]', 'N#CC#CC#N']",pcu
24,hMOF-5071365,['[Cu][Cu]'],"['[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])O)O)O', 'Oc1c(cc(c(c1O)c1ccc(cc1O)C(=O)[O-])O)c1ccc(c(c1)O)C(=O)[O-]', 'OC1=C(O)C(=[C]C=C1c1ccncc1O)c1ccncc1O']",pcu
25,hMOF-5067201,['[Cu][Cu]'],"['N#CC#N', '[O-]C(=O)C#CC#CC(=O)[O-]']",pcu
26,hMOF-5002004,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C(=O)[O-]']",pcu
27,hMOF-1002629,['[V]O[V]'],"['[O]', '[O-]C(=O)C#CC(=O)[O-]', 'CCCOc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1']",UNKNOWN
28,hMOF-5059447,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', 'N#Cc1cc(O)c(cc1O)C#N', '[O-]C(=O)C#Cc1ccc(c(c1)O)C#CC(=O)[O-]']",pcu
29,hMOF-5033748,['[Zn][Zn]'],"['N#CC#N', '[O-]C(=O)C#CC#CC(=O)[O-]']",pcu
30,hMOF-27606,['[Cu][Cu]'],"['[O-]C(=O)c1ccc(cc1)c1c(O)c(O)c(c(c1O)O)c1c(O)cc(c(c1O)O)C(=O)[O-]', 'OC1=N[CH]C=C([CH]1)c1ccc(c(c1O)O)c1ccnc(c1O)O', 'Oc1cc(C(=O)[O-])c(cc1c1cc(O)c(c(c1O)O)c1cc(O)c(c(c1O)O)C(=O)[O-])O']",pcu
31,hMOF-5028987,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(cc1N)N1C(=O)c2cc(N)c3c4c2c(C1=O)c(N)cc4C(=O)N(C3=O)c1ccc(c(c1N)N)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1N)N)N1[C]c2c(N)cc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1c(N)cc(c(c1N)N)C(=O)[O-])N']",pcu
32,hMOF-5067364,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'N#CC#CC#N', 'CCOC1CC2(C(=O)[O-])C(CC1(CC2OCC)C(=O)[O-])OCC']",pcu
33,hMOF-5071217,['[Cu][Cu]'],"['BrC1=C(Br)C(=C([C]=C1C1=CC=C(C(=[C]1)Br)C(=O)[O-])Br)C(=O)[O-]', 'BrC1=NC(=[C]C(=C1)c1ccncc1)Br', '[O-]C(=O)C#CC12C3(Br)C4C2(C2(C1(C3C42C#CC(=O)[O-])Br)Br)Br']",pcu
34,hMOF-5047316,['[Zn][Zn]'],"['N#CC12C3C4C2C2C1C3C42C#N', '[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-]']",pcu
35,hMOF-5046418,['[Zn][Zn]'],"['[O-]C(=O)C#CC12C3C4C1C1(C2(C3C41C#CC(=O)[O-])O)O', '[O-]C(=O)c1ccc(c(c1)O)c1cc(O)c(cc1O)c1ccc(c(c1)O)C(=O)[O-]', 'Oc1nccc(c1)c1ccc(c(c1O)O)C1=CC(=[N]=C([C]1O)O)O']",pcu
36,hMOF-5055649,['[Zn][Zn]'],"['BrOC1=c2c(Br)cc3=C(OBr)N(C(=c4c3c2c(=C(N1C1=[C]C(=C(C=[C]1)C(=O)[O-])Br)OBr)c(Br)c4Br)OBr)C1=[C]C(=C(C=[C]1)C(=O)[O-])Br', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', 'N#CC=C(C#N)Br']",pcu
37,hMOF-19272,['[Zn][Zn]'],"['[O-]C(=O)C#CC(=O)[O-]', 'N#N', 'Clc1cc(C(=O)[O-])c(cc1N=Nc1ccc(c(c1Cl)Cl)C(=O)[O-])Cl']",
38,hMOF-8524,[],[],
39,hMOF-5058772,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-]', 'Fc1cnccn1']",pcu
40,hMOF-6000650,['[V]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O]', '[O-]C(=O)C1=Cc2c(C[CH]1)cc(c1c2c(c2ccccc2)c(c2ccccc2)c2c1cc(c(c2C1=CC=C[C]=C1)c1ccccc1)C(=O)[O-])c1ccccc1']",rna
41,hMOF-5043479,['[Zn][Zn]'],"['N#CC12CC(O)C(C(C1O)(O)O)(C(C2(O)O)O)C#N', '[O-]C(=O)C#CC12CC(O)C(C(C1O)O)(C(C2O)O)C#CC(=O)[O-]', '[O-]C(=O)C#CC12C(O)CC(C(C1O)(O)O)(C(C2O)(O)O)C#CC(=O)[O-]']",pcu
42,hMOF-5055595,['[Zn][Zn]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'N#CC#CC#N', 'N=Nc1c(ccc2c1N([NH])O[C]1N2C(=O)c2c3c1c1=NNNN=c1c1c3c(c(c2N=N)N=N)[C]2N(C1=O)c1ccc(cc1N(O2)[NH])C(=O)[O-])C(=O)[O-]']",pcu
43,hMOF-5059780,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', 'BrN=N', '[O-]C(=O)C=C(C(=O)[O-])Br']",
44,hMOF-5073383,['[Cu][Cu]'],"['[O-]C(=O)C#CC12CC(Br)(Br)C(C(C1Br)Br)(C(C2(Br)Br)(Br)Br)C#CC(=O)[O-]', '[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])Br)Br)Br', 'N#CC12CC(Br)C(C(C1Br)Br)(C(C2Br)(Br)Br)C#N']",pcu
45,hMOF-28463,['[Cu][Cu]'],"['[O-]C(=O)C#Cc1c(O)c(O)c(c(c1O)O)C#CC(=O)[O-]', 'Oc1ncc(c(c1)c1cc(O)c(c(c1O)O)c1ccncc1)O', '[O-]C(=O)C1=CC(=C([C]=C1)c1cc(O)c(cc1O)c1ccc(c(c1)O)C(=O)[O-])O']",pcu
46,hMOF-5080486,['[Cu][Cu]'],"['BrO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(Br)c(Br)c1c3c(c(c2Br)Br)C(=O)N([C]1OBr)C1=[C]C=C(C=C1)C(=O)[O-]', 'BrO[C]1N(C2=[C]C=C(C=C2)C(=O)[O-])C(=O)c2c3c1c(Br)c(Br)c1c3c(cc2Br)C(=O)N([C]1OBr)C1=CC(=C(C(=[C]1)Br)C(=O)[O-])Br', 'BrO[C]1N(C2=[C]C=NC(=C2)Br)C(=O)c2c3c1cc(Br)c1c3c(c(c2Br)Br)C(=O)N(C1=O)c1cc(Br)nc(c1)Br']",pcu
47,hMOF-5058,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]']",pcu
48,hMOF-3001730,[],[],
49,hMOF-5053632,['[Zn][Zn]'],"['Brc1nccc(c1)[C]=C(c1cc(Br)nc(c1)Br)Br', 'BrC(=Cc1ccc(cc1)C(=O)[O-])c1c(Br)cc(c(c1Br)Br)C(=O)[O-]', '[O-]C(=O)C1=[C]C(=C(C(=C1)Br)c1nnc(nn1)C1=C(Br)C(=C([C]=C1Br)C(=O)[O-])Br)Br']",pcu
50,hMOF-5061606,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]', 'CCOc1c(OCC)c(C#N)c(c(c1C#N)OCC)OCC']",pcu
51,hMOF-5025242,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)C(=O)[O-]']",pcu
52,hMOF-1001681,['[V]O[V]1([O])([O])[O]2[O]1[V]2([O])([O])O[V]'],['[O-]C(=O)[C][O]'],
53,hMOF-5066286,['[Cu][Cu]'],"['Fc1cc(ccc1c1cc(F)c(c(c1F)F)C(=O)[O-])C(=O)[O-]', 'Fc1nccc(c1)c1cc(F)nc(c1)F', '[O-]C(=O)C12CC(F)(F)C(CC1F)(C(C2F)F)C(=O)[O-]']",pcu
54,hMOF-28933,['[Cu][Cu]'],"['BrC1=CC(=C[C]=N1)C1=[C]C=NC=C1', '[O-]C(=O)C1=C[C]=C(C=C1)c1ccc(c(c1)Br)C(=O)[O-]', 'BrC1=N[C]=CC(=C1)C1=[C]C=NC=C1', '[O-]C(=O)C1=CC=C(C=[C]1)C#Cc1ccc(c(c1Br)Br)C(=O)[O-]']",pcu
55,hMOF-5077706,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'N#CC#CC#N', 'N=Nc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1ccc(c(c1)N=N)C(=O)[O-])N=N']",pcu
56,hMOF-5066481,['[Cu][Cu]'],"['[N]=C1[N][C]C2CC3(C(=O)[O-])C(CC2(CC3[C]2[N][C]([C]2C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=[N])[N][C]C2C3(CC1C(C2)(C(=O)[O-])C(C3)[C]1[N][C]([C]1C(=O)[O-])C(=O)[O-])C(=O)[O-]', 'N#N']",
57,hMOF-5009318,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C12C(Br)C(Br)C(C(C1Br)(Br)Br)(C(C2(Br)Br)(Br)Br)C(=O)[O-]', 'BrC1=CC(=C([C]=C1C1=CC=C(C(=[C]1)Br)C(=O)[O-])Br)C(=O)[O-]', 'Brc1cc(C(=O)[O-])c(cc1c1ccc(c(c1)Br)C(=O)[O-])Br']",pcu
58,hMOF-34130,['[Cu][Cu]'],"['OC1=[N]=C(O)C2=C(O)C(=[N]=C(C2=C1)O)O', '[O-]C(=O)c1cc2cc(O)c(cc2cc1O)C(=O)[O-]', '[O-]C(=O)c1cc(O)c2c(c1)ccc(c2)C(=O)[O-]']",pcu
59,hMOF-5039756,['[Zn][Zn]'],"['OC(=CC#CC(=O)[O-])C#CC(=O)[O-]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', 'ON=C(C(=N)O)O']",pcu
60,hMOF-5064361,['[Cu][Cu]'],"['n1ccc(cc1)C#Cc1ccncc1', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', 'COc1cc(C(=O)[O-])c(cc1C#Cc1c(OC)cc(c(c1OC)OC)C(=O)[O-])OC']",pcu
61,hMOF-1002221,['[V]'],"['[O]', 'COC1=CC=C(C=[C]1)C(=O)[O-]', '[O-]C(=O)C(=O)[O-]', 'COc1c(OC)c(OC)c(c(c1OC)O)C(=O)[O-]', 'COC(=C(C(=O)[O-])OC)C=CC(=O)[O-]']",
62,hMOF-5066173,['[Cu][Cu]'],"['[CH2]OC(=CC=C=[C](=O)[O-])C#CC(=O)[O-]', 'COC(=C(C#N)OC)C#N']",pcu
63,hMOF-5078170,['[Cu][Cu]'],"['[O-]C(=O)C#CC12C3C4C1C1(C2(C3C41C#CC(=O)[O-])Cl)Cl', 'Clc1cc(C(=O)[O-])c(cc1C1=N[N]C(=N[N]1)c1cc(Cl)c(c(c1)Cl)C(=O)[O-])Cl', 'N#CC12C3C4C2(C2(C1C3(C42C#N)Cl)Cl)Cl']",pcu
64,hMOF-5073931,['[Cu][Cu]'],"['[O-]C(=O)C#CC(=O)[O-]', 'N#N', '[O-]C(=O)c1ccc(cc1Cl)C=Cc1cc(Cl)c(c(c1)Cl)C(=O)[O-]']",
65,hMOF-5051431,['[Zn][Zn]'],"['Fc1ncc(c(c1)c1nnc(nn1)c1ccncc1F)F', '[O-]C(=O)C#Cc1cc(F)c(c(c1F)F)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1cc(F)c(c(c1)F)C#CC(=O)[O-]']",pcu
66,hMOF-5059280,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]', 'N#N']",
67,hMOF-5035215,['[Zn][Zn]'],"['N#CC#N', '[O-]C(=O)C#CC#CC(=O)[O-]']",pcu
68,hMOF-17376,['[Zn][Zn]'],"['[O-]C(=O)C#CC(=O)[O-]', 'N#N']",
69,hMOF-5076207,['[Cu][Cu]'],"['[O-]C(=O)c1ccc(c(c1Cl)Cl)c1nnc(nn1)c1c(Cl)cc(c(c1Cl)Cl)C(=O)[O-]', 'N#Cc1cc(Cl)c(c(c1Cl)Cl)C#N', 'Clc1cc(cc(c1c1nnc(nn1)c1ccc(c(c1Cl)Cl)C(=O)[O-])Cl)C(=O)[O-]']",pcu
70,hMOF-5023893,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(c(c1)Br)c1nnc(nn1)c1ccc(c(c1Br)Br)C(=O)[O-]', 'BrOC(=O)c1c(Br)c2C3=C(Br)[C](C(=[C]C3OC(=O)c2cc1C1=[C]C=CC=C1)Br)Br', 'BrOC(=O)c1cc(Br)c(cc1Br)c1nnc(nn1)c1ccc(c(c1)Br)C(=O)[O-]']",pcu
71,hMOF-5063856,['[Cu][Cu]'],"['BrC1Cc2c1nc(c(n2)Br)Br', '[O-][C](=C=C([C]=C(C(=C=[C](=O)[O-])Br)Br)Br)=O', '[O-]C(=O)c1ccc(c2c1[CH][CH]2)C(=O)[O-]']",pcu
72,hMOF-5032633,['[Zn][O]([Zn])([Zn])[Zn]'],"['BrOC1=C2C=C[C]3C4=C2C(=C(N1C1=[C]C(=C(C(=[C]1)Br)C(=O)[O-])Br)OBr)C=[C]C4=c1c2=C3C(=C[C]3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1)Br)C(=O)[O-])Br', '[O-]C(=O)C#CC12CC(Br)(Br)C(C(C1Br)Br)(C(C2Br)(Br)Br)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CC(Br)C(CC1Br)(C(C2Br)Br)C#CC(=O)[O-]']",pcu
73,hMOF-3001192,['[Cu][Cu]'],"['N#Cc1nccc(c1)C#CC(C#Cc1ccnc(c1C#N)C#N)(C#Cc1ccncc1C#N)C#Cc1ccncc1C#N', 'N#Cc1cc(C#CC(C#Cc2cc(C#N)nc(c2C#N)C#N)(C#Cc2cc(C#N)ncc2C#N)C#Cc2cc(C#N)nc(c2)C#N)cc(n1)C#N']",dia
74,hMOF-5009968,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C12CCC(CC1)(CC2)C(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]']",pcu
75,hMOF-5074669,['[Cu][Cu]'],"['Nc1ncc2c(c1N)cncc2N', 'NC(=C(c1ccc(c(c1)N)C(=O)[O-])N)c1cc(N)c(c(c1)N)C(=O)[O-]', '[O-]C(=O)c1cc2c(N)cc(c(c2c(c1N)N)N)C(=O)[O-]']",pcu
76,hMOF-5007476,[],[],
77,hMOF-5022105,['[Zn][O]([Zn])([Zn])[Zn]'],['[O-]C(=O)C12CCC(C(C1)c1ccccc1)(CC2c1ccccc1)C(=O)[O-]'],"ERROR,UNKNOWN"
78,hMOF-5067411,['[Cu][Cu]'],"['ClC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'N#CC=C(C#N)Cl', '[O-]C(=O)C12CC(Cl)C(C(C1Cl)Cl)(C(C2Cl)(Cl)Cl)C(=O)[O-]']",pcu
79,hMOF-28726,['[Cu][Cu]'],"['[O-]C(=O)C#Cc1ccc(c(c1)Br)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]', 'N#Cc1cc(Br)c(c(c1)Br)C#N']",pcu
80,hMOF-5075175,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'N#CC#CC#N', 'N=Nc1cc(ccc1[CH]C1=c2cc(N=N)c(c(c2=NNN1[NH])N=N)C(=O)[O-])C(=O)[O-]']",pcu
81,hMOF-22401,['[Zn][Zn]'],"['[O-]C(=O)C#CC(=O)[O-]', 'N#N', '[O-]C(=O)C(=O)[O-]']",
82,hMOF-5022925,['[Zn][O]([Zn])([Zn])[Zn]'],"['Brc1cc(cc(c1c1cc(Br)c(c(c1)Br)C(=O)[O-])Br)c1ccc(c(c1)Br)C(=O)[O-]', 'Brc1cc(cc(c1c1ccc(c(c1)Br)c1cc(Br)c(c(c1Br)Br)C(=O)[O-])Br)C(=O)[O-]', 'Brc1c(cc(c(c1Br)C(=O)[O-])Br)c1nnc(nn1)c1ccc(c(c1)Br)C(=O)[O-]']",pcu
83,hMOF-1002822,"['[V]', '[O][V]O[V]']","['[O]', '[O-]C(=O)C(=O)[O-]']",UNKNOWN
84,hMOF-5044370,['[Zn][Zn]'],"['BrC1=[C]N=C(C(=N1)Br)Br', '[O-]C(=O)C1=CC(=C([C]=[C]1)C(=O)[O-])Br', '[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])Br)Br', 'BrC1=NC(=C(N=[C]1)Br)Br']",UNKNOWN
85,hMOF-5061234,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'N#CC#CC#N', '[O-]C(=O)C#CC(=O)[O-]']",pcu
86,hMOF-5076193,['[Cu][Cu]'],"['[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-]', 'Fc1cc(cc(c1c1nnc(nn1)c1ccc(c(c1F)F)C(=O)[O-])F)C(=O)[O-]', 'N#Cc1cc(F)c(c(c1F)F)C#N']",pcu
87,hMOF-28500,['[Cu][Cu]'],"['FC1C(F)c2c1nccn2', '[O-]C(=O)c1ccc(c2c1C(C2(F)F)(F)F)C(=O)[O-]', '[O-]C(=O)C#Cc1cc(F)c(c(c1F)F)C#CC(=O)[O-]']",pcu
88,hMOF-5000566,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]']",pcu
89,hMOF-5006502,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', 'N#CC(=CC#CC(=O)[O-])C#CC(=O)[O-]']",pcu
90,hMOF-5053046,['[Zn][Zn]'],"['Cl[N][C]C(=C([C][N]Cl)Cl)Cl', 'ClC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'ClC1=C(C=[C]C(=C1)C(=O)[O-])c1nnc(nn1)C1=C(Cl)[C]=C(C=C1)C(=O)[O-]', 'ClC1=CC(=[C]C=C1c1nnc(nn1)C1=C(Cl)[C]=C(C=C1)C(=O)[O-])C(=O)[O-]']",pcu
91,hMOF-5065809,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'N#CC#CC#N', '[O-]C(=O)C#CC=CC#CC(=O)[O-]']",pcu
92,hMOF-1001870,"['[V]1[V]O[V]2[O]3[V](O1)[O]23', '[V]O[V]1[O]2[O]1[V]2O[V]']",['[O][C]C([O])([O])[O]'],llj
93,hMOF-5017323,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(cc1O)N=Nc1cc(O)c(c(c1)O)C(=O)[O-]', '[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])O', '[O-]C(=O)c1ccc(c(c1O)O)N=Nc1c(O)cc(c(c1O)O)C(=O)[O-]']",pcu
94,hMOF-5073054,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'N#CC#CC#N', '[O-]C(=O)C#CC12C3(N)C4C2(C2(C1(C3C42C#CC(=O)[O-])N)N)N']",pcu
95,hMOF-8184,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C(=O)[O-]']",pcu
96,hMOF-3000664,['[Zn][Zn]'],"['N#CC(C#N)(C#N)C#N', 'Clc1cc(C#CC(C#Cc2c(Cl)c(Cl)nc(c2Cl)Cl)(C#Cc2c(Cl)cnc(c2Cl)Cl)C#Cc2ccncc2)c(c(n1)Cl)Cl']",dia
97,hMOF-32143,['[Cu][Cu]'],"['[O-][C](=C=C(C(=O)[O-])Br)=O', '[N]=C[C]=N']",UNKNOWN
98,hMOF-5066821,['[Cu][Cu]'],"['[O-]C(=O)C=C([C]=C(C(=O)[O-])O)O', '[O-]C(=O)C12C(O)CC(C(C1O)O)(C(C2O)(O)O)C(=O)[O-]', 'N=CC=N']",pcu
99,hMOF-6000844,['[V]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O]']",rna
100,hMOF-5023335,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#Cc1cc(Br)c(cc1Br)C#CC(=O)[O-]', 'Brc1cc(ccc1C1=N[N]C(=N[N]1)c1ccc(cc1Br)C(=O)[O-])C(=O)[O-]']",pcu
101,hMOF-33247,['[Cu][Cu]'],"['[O-]C(=O)C=CC=CC(=O)[O-]', '[O-]C(=O)C(=O)[O-]', 'N=CC=N']",pcu
