,cif,nodes_cansmi,linkers_cansmi,rcsr
20,hMOF-34189,['[Cu][Cu]'],"['OC1=N[CH]C2=C(O)C(=N[CH]C2=C1)O', '[O-]C(=O)c1cc(O)c2c(c1)ccc(c2O)C(=O)[O-]', '[O-]C(=O)c1cc(O)c2c(c1)ccc(c2)C(=O)[O-]']",pcu
21,hMOF-37416,['[Cu][Cu]'],"['[O-]C(=O)C1=CC=C2C(=[C]1)c1cc(Cl)c3c(c1[C]=C2Cl)cc(cc3)C(=O)[O-]', 'Clc1cnc(c(c1N=Nc1c(Cl)cnc(c1Cl)Cl)Cl)Cl', '[O-]C(=O)C1=CC(=C(C=[C]1)N=Nc1c(Cl)cc(cc1Cl)C(=O)[O-])Cl']",pcu
22,hMOF-5031383,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C(=CC=CC(=O)[O-])c1ccccc1', '[O-]C(=O)c1ccc(cc1c1ccccc1)N1C(=O)c2ccc3c4c2c(C1=O)c(c1ccccc1)c(c4c1c2c3ccc3c2c(cc1)C(=O)N1[C]3OC2C=CC=C[C]2c2c1cc(c1ccccc1)c(c2c1ccccc1)C(=O)[O-])c1ccccc1', '[O-]C(=O)C=C(c1ccccc1)C=C(c1ccccc1)C(=O)[O-]']",pcu
23,hMOF-3902,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(c(c1Cl)Cl)C#Cc1cc(Cl)c(c(c1Cl)Cl)C(=O)[O-]', 'Clc1cc(C(=O)[O-])c(cc1N=Nc1cc(Cl)c(c(c1Cl)Cl)C(=O)[O-])Cl', '[O-]C(=O)c1ccc(cc1Cl)C#Cc1ccc(c(c1)Cl)C(=O)[O-]']",pcu
24,hMOF-22873,['[Zn][Zn]'],"['[O-]C(=O)c1cc2c(F)cc(c(c2c(c1F)F)F)C(=O)[O-]', 'Fc1nc(F)c(c2c1ccnc2)F', '[O-]C(=O)C1=CC=C([C]=C1)C1=[C]C=C(C=C1F)C(=O)[O-]']",pcu
25,hMOF-5004735,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",pcu
26,hMOF-4149,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(c(c1)N)N=Nc1cc(N)c(cc1N)C(=O)[O-]', 'Nc1c(N=Nc2ccc(c(c2)N)C(=O)[O-])c(N)c(c(c1N)C(=O)[O-])N', 'Nc1c(N=Nc2ccc(c(c2)N)C(=O)[O-])cc(c(c1N)C(=O)[O-])N']",pcu
27,hMOF-35423,['[Cu][Cu]'],"['[O-]C(=O)c1ccc2c(c1)c1ccc(c(c1c(c2F)F)C(=O)[O-])F', 'Fc1nc(F)c(c(c1)c1ccnc(c1F)F)F', '[O-]C(=O)C1=C[C]=C(C=C1)C1=[C]C=C(C=C1F)C(=O)[O-]', '[O-]C(=O)C1=C[C]=C(C=C1)C1=C(F)C=C(C=[C]1)C(=O)[O-]']",pcu
28,hMOF-14093,['[Zn][O]([Zn])([Zn])[Zn]'],"['N#Cc1cc(c(cc1c1ccc(c(c1C#N)C#N)C(=O)[O-])C#N)c1ccc(c(c1C#N)C#N)C(=O)[O-]', 'N#Cc1c(C#N)c(ccc1C(=O)[O-])c1ccc(c(c1)C#N)c1ccc(c(c1C#N)C#N)C(=O)[O-]', 'N#Cc1cc2cc(C(=O)[O-])c(c3c2c2c1cc(cc2cc3)C(=O)[O-])C#N']",pcu
29,hMOF-5007919,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1c(F)cc(c2c1ccc(c2F)F)C(=O)[O-]', 'FOC(=O)c1ccc(c2c1[C]=C(F)C=C2)C(=O)[O-]', 'FC(=C(C#CC(=O)[O-])F)C#CC(=O)[O-]']",pcu
30,hMOF-5056135,['[Zn][Zn]'],"['CCc1cc(ccc1N1[C]c2cc(CC)c3c4c2c(C1=O)c(CC)cc4C(=O)N(C3=O)C1=C[C]=C(C=C1)C(=O)[O-])C(=O)[O-]', 'CCC1=[C]C(=CC=C1C=Cc1ccc(cc1CC)C(=O)[O-])C(=O)[O-]', 'CCc1cnccc1C=CC1=[C]C=NC=C1']",pcu
31,hMOF-7001797,['[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43'],"['N#Cc1c2[C][N]N([N][C]c3c(C=Cc2ccc1C(=O)[O-])ccc(c3C#N)C(=O)[O-])[C]c1cccc(c1)C(=O)[O-]', 'N#Cc1cc([C]N=N[C]c2cc(ccc2C(=Cc2ccc(cc2)C(=O)[O-])C#N)C(=O)[O-])cc(c1)C(=O)[O-]', '[O-]C(=O)C#CC#CC(=O)[O-]']",pcu
32,hMOF-5038812,['[Zn][Zn]'],"['CCOC1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])OCC', '[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]', 'CCOC(=C(C#N)OCC)C#N']",pcu
33,hMOF-5022750,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(c(c1)Cl)c1nnc(nn1)c1ccc(c(c1Cl)Cl)C(=O)[O-]', '[O-]C(=O)C1=C[C]=C([C]=C1)C1=CC(=C(C(=[C]1)Cl)C(=O)[O-])Cl', '[O-]C(=O)C1=C[C]=C([C]=C1)C1=[C]C(=C(C=C1)C(=O)[O-])Cl']",pcu
34,hMOF-5066019,['[Cu][Cu]'],"['FC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'FC(=C(C#CC(=O)[O-])F)C#CC(=O)[O-]', 'N#CC(=C(C#N)F)F']",pcu
35,hMOF-30388,[],[],
36,hMOF-5052777,['[Zn][Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', 'N#Cc1cc(C(=O)[O-])c(c(c1c1nnc(nn1)c1ccc(cc1)C(=O)[O-])C#N)C#N', 'N#Cc1ncc(c(c1)c1nnc(nn1)c1cc(C#N)nc(c1C#N)C#N)C#N']",pcu
37,hMOF-5006403,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]']",pcu
38,hMOF-35859,['[Cu][Cu]'],"['[O-]C(=O)C=[C]C(=O)[O-]', 'OC1=[C]C2=[C]C(=C(C(=C2C2=C[C]=C(C(=C12)C(=O)[O-])O)O)C(=O)[O-])O', 'ON=N']",
39,hMOF-5073280,['[Cu][Cu]'],"['[CH2]OC(=C(C=C=[C](=O)[O-])O[CH2])C=C=[C](=O)[O-]', 'COC12C3C4(C1C1(C2(C3(C41)OC)C#CC(=O)[O-])OC)C#CC(=O)[O-]', 'N#CC=CC#N']",pcu
40,hMOF-5077868,['[Cu][Cu]'],"['N#CC=CC#N', 'CCOC(=C(C#CC(=O)[O-])O[CH2])C#CC(=O)[O-]', 'CCOc1c(ccc(c1OCC)c1nnc(nn1)c1cc(OCC)c(c(c1OCC)O[CH2])C(=O)[O-])C(=O)[O-]']",pcu
41,hMOF-5001320,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', 'FC(=C(C(=O)[O-])F)C(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]']",pcu
42,hMOF-5031424,['[Zn][O]([Zn])([Zn])[Zn]'],"['Fc1cc(cc(c1N1C(=O)C2=C(F)[C]=c3c4c2c(C1=O)c(F)c(c4c1c2c3[C]=CC3=c2c(cc1)C(=O)N(C3=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-])F)F)C(=O)[O-]', 'FC(=C(C(=O)[O-])F)C(=C(C(=O)[O-])F)F', '[O-]C(=O)C=CC(=CC(=O)[O-])F']",pcu
43,hMOF-5073934,['[Cu][Cu]'],"['N#N', 'BrC1=C(C=Cc2ccc(c(c2)Br)C(=O)[O-])[C]=C(C(=C1)C(=O)[O-])Br', '[O-]C(=O)C#CC(=O)[O-]']",
44,hMOF-1003864,['[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43'],"['[O-]C(=O)C1=C(Cl)[C]=C(C=C1)c1ccc(cc1Cl)c1ccc(c(c1)Cl)C(=O)[O-]', 'Clc1cc(ccc1c1ccc(c(c1)Cl)c1c(Cl)cc(c(c1Cl)Cl)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C(=CC(=C(C(=O)[O-])Cl)Cl)Cl']",pcu
45,hMOF-11299,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCOc1cc2c(cc1OCC)c(cc(c2C(=O)[O-])OCC)C(=O)[O-]', 'CCOc1cc2c(OCC)c(C(=O)[O-])c(cc2c(c1C(=O)[O-])O[CH2])OCC', 'O', 'CCOc1cc2c(c(c1[C][O])O[C]C)ccc(c2OCC)C(=O)[O-]']",pcu
46,hMOF-1326,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-]', '[O-]C(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-]', '[O-]C(=O)c1cc(Cl)c(c(c1)Cl)C(=O)[O-]']",pcu
47,hMOF-5080436,['[Cu][Cu]'],['N#Cc1cc2=c3oc([N])c4[C]5n3c(=c3c2c2c1=c1oc([N])c6[C]7n1c(=c2cc3)oc(=[N])c7c(c(c6)C(=O)[O-])C#N)oc(=[N])c5cc(c4)C(=O)[O-]'],"sql,UNKNOWN"
48,hMOF-27681,['[Cu][Cu]'],"['Cc1ncc(c(c1)C1=C(C)[C]=C(C=C1C)c1c(C)cnc(c1C)C)C', 'Cc1cc(ccc1c1ccc(cc1C)c1c(C)c(C)c(c(c1C)C)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)C)c1ccc(cc1C)c1cc(C)c(cc1C)C(=O)[O-]']",pcu
49,hMOF-16826,['[Zn][Zn]'],"['Oc1cc(C(=O)[O-])c(c(c1c1cc(O)c(c(c1)O)C(=O)[O-])O)O', 'Oc1nccnc1O', '[O-]C(=O)c1ccc(c(c1)O)C(=O)[O-]']",pcu
50,hMOF-5066859,['[Cu][Cu]'],"['[O-]C(=O)C(=CC(=C(C(=O)[O-])C)C)C', 'CN=CC(=NC)C', '[O-]C(=O)C12CC(C)C(C(C1C)C)(C(C2C)C)C(=O)[O-]']",pcu
51,hMOF-12655,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C1=[C]c2c(C=C1)ccc1c2[C]=CC(=C1C(=O)[O-])Cl', '[O-]C(=O)c1ccc(cc1)c1cc(Cl)c(c(c1)Cl)C(=O)[O-]', '[O-]C(=O)C1=[C]c2c(C=C1)ccc1=C(C(=C[C]=c21)Cl)C(=O)[O-]', 'ClOC(=O)c1cccc2c1[C]=C(Cl)C1=C(Cl)C=C([C]=C21)C(=O)[O-]']",pcu
52,hMOF-5017426,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCCOC1=C(OCCC)C(=C2C([CH]1)OC(=O)c1c2c(OCCC)c(c(c1)c1ccccc1)C(=O)[O-])OCCC', 'CCCOC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42)OCCC)C#CC(=O)[O-])OCCC', 'CCCOc1ccc(cc1c1cc2C(=O)OC3C(=C[CH]C=C3)c2cc1C(=O)[O-])OCCC']",pcu
53,hMOF-5010809,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C12CC(Br)C(C(C1)(Br)Br)(C(C2Br)Br)C(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",pcu
54,hMOF-24802,[],[],
55,hMOF-5032410,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-]']",pcu
56,hMOF-5015138,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1c2ccccc2c(c2c1cccc2N)C(=O)[O-]', '[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])N)N)N', 'Nc1c(N)c(N)c(c2c1c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)ccc1N)N']",pcu
57,hMOF-5010503,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C12CC3C4=CC=CC5C4C4[C](C(C1)(C3(CC2(c1ccccc1)c1ccccc1)C(=O)O)C1=[C]C=CC=C1)C=C[CH]C54', '[O-]C(=O)c1cc(c2ccccc2)c2c(c1c1ccccc1)c1ccc(c(c1cc2)C(=O)[O-])c1ccccc1', '[O-]C(=O)c1cc(c2ccccc2)c(c2c1ccc1c2cc(cc1)C(=O)[O-])c1ccccc1']",pcu
58,hMOF-31348,['[Cu][Cu]'],"['NC1(N)Cc2c1nccn2', '[O-]C(=O)c1c(N)c(N)c(c2c1CC2)C(=O)[O-]', '[O-]C(=O)C=CC=C(C(=O)[O-])N']",pcu
59,hMOF-11904,[],[],
60,hMOF-15261,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1c(N)c2ccc3c4c2c(c1N)c(N)c(c4c(c(c3N)C(=O)[O-])N)N', '[O-]C(=O)c1cc2c3c(N)c(N)c(c(c3cc(c2c(c1N)N)N)C(=O)[O-])N', 'Nc1cc(C(=O)[O-])c2c(c1)c1cc(ccc1c(c2)N)C(=O)[O-]']",pcu
61,hMOF-5020563,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1c(Cl)cc(c(c1Cl)Cl)N=Nc1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-]', 'Clc1c(N=Nc2ccc(cc2)C(=O)[O-])ccc(c1Cl)C(=O)[O-]', 'Clc1cc(ccc1N=Nc1cc(Cl)c(c(c1)Cl)C(=O)[O-])C(=O)[O-]']",pcu
62,hMOF-5039377,['[Zn][Zn]'],"['[O-]C(=O)c1ccc(cc1)N=Nc1ccc(c(c1)O)C(=O)[O-]', 'OC1=[N]=C([C](C(=C1)N=NC1=C(O)C(=[N]=C([C]1O)O)O)O)O', 'OC(=CC#CC(=O)[O-])C#CC(=O)[O-]']",pcu
63,hMOF-5031333,['[Zn][O]([Zn])([Zn])[Zn]'],"['N=Nc1cc(cc2c1C(=O)ON[N]2)N1C(=O)c2ccc3c4c2c(C1=O)c(N=N)cc4c1c2c3ccc3c2c(cc1N=N)[C]1N(C3=O)c2cc(N=N)c(c(c2[N]NO1)N=N)C(=O)[O-]', 'N=NC(=CC(=O)[O-])C(=O)[O-]']","pcu,sql"
64,hMOF-22538,['[Zn][Zn]'],"['CCOc1c(C#CC(=O)[O-])cc(c(c1OCC)C#CC(=O)[O-])OCC', 'CCOc1c(C#N)cc(c(c1OCC)C#N)OCC', '[O-]C(=O)C(=O)[O-]']",pcu
65,hMOF-19791,['[Zn][Zn]'],"['N#N', '[O-]C(=O)C#CC(=O)[O-]', 'Oc1cccc(c1)C1=CC(=C([C]=C1C(=O)[O-])c1c(O)ccc(c1O)O)C(=O)[O-]']",
66,hMOF-4915,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCOC1(OCC)Cc2c1c(ccc2C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]', 'CCOC(=C(C(=O)[O-])OCC)C(=O)[O-]']",pcu
67,hMOF-30283,['[Cu][Cu]'],"['Oc1cc(cc(c1N=Nc1cc(O)c(c(c1O)O)C(=O)[O-])O)C(=O)[O-]', 'Oc1cc(C(=O)[O-])c(cc1N=Nc1ccc(cc1)C(=O)[O-])O', 'OC1=[N]=C([C](C(=C1)N=Nc1ccnc(c1O)O)O)O']",pcu
68,hMOF-5022219,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC12CC(O)C(C(C1O)(O)O)(C(C2(O)O)O)C#CC(=O)[O-]', '[O-]C(=O)c1ccc(c(c1O)O)C=Cc1c(O)cc(c(c1O)O)C(=O)[O-]', '[O-]C(=O)C#CC12CC(O)(O)C(C(C1O)O)(C(C2(O)O)(O)O)C#CC(=O)[O-]']",pcu
69,hMOF-24113,['[Zn][Zn]'],"['Clc1cc(N=Nc2c(Cl)cnc(c2Cl)Cl)c(c(n1)Cl)Cl', '[O-]C(=O)c1cc(Cl)c(c2c1cccc2Cl)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1Cl)C(=O)[O-]']",pcu
70,hMOF-17098,['[Zn][Zn]'],"['[O-]C(=O)C1=[C]C=C(C=C1)c1ccc(c(c1Br)Br)C1=C[C]=C(C(=C1)Br)C(=O)[O-]', 'Brc1cc(cc(c1c1ccc(c(c1)Br)c1ccc(c(c1Br)Br)C(=O)[O-])Br)C(=O)[O-]', 'Brc1ncc(c(c1)c1ccc(c(c1Br)Br)c1c(Br)cncc1Br)Br', '[O-]C(=O)C1=CC=C(C=[C]1)c1ccc(c(c1Br)Br)C1=C[C]=C(C(=C1)Br)C(=O)[O-]']",pcu
71,hMOF-10848,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1c(N)cc(c2c1ccc(c2N)N)C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1c(N)cc(c2N)N)C(=O)[O-]', 'Nc1cc(ccc1N=Nc1ccc(c(c1)N)C(=O)[O-])C(=O)[O-]']",pcu
72,hMOF-5060555,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', 'Fc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1', 'Fc1cccc2c1nc1c(F)ccc(c1n2)F']",pcu
73,hMOF-1000878,"['[V]O[V]O[V]', '[V]']","['[O-]C(=O)c1ccc(c(c1C)C)C', '[CH3]', '[O]', 'CC12OC34C1C(O3)C1C35[C]2C2C43C1(C)C1C3[C]2OC53O1', '[O-]C(=O)C1=[C]C=C(C=C1)c1c(C)cc(c(c1C)C)c1ccc(cc1C)C(=O)[O-]', '[O-]C(=O)c1c(C)cc(c(c1C)C)C', '[O-]C(=O)C=C(C(=O)[O-])C']",UNKNOWN
74,hMOF-6001696,['[V]'],"['[O-]C(=O)C=CC=CC(=O)[O-]', 'CCCOC(=CC#CC(=O)[O-])C#CC(=O)[O-]', '[O]']",rna
75,hMOF-5080585,['[Cu][Cu]'],['COC12C3C4(C2(C2(C1(C3(C42OC)OC)C(=O)[O-])OC)OC)C(=O)[O-]'],pcu
76,hMOF-34719,['[Cu][Cu]'],"['OC(=NO)C=[N]', '[O-]C(=O)[C]=CC(=[C]C(=O)[O-])O', 'OC1=[C]c2c(C=C1O)c(cc(c2C(=O)[O-])O)C(=O)[O-]']",pcu
77,hMOF-1001005,['[V]'],"['[O-]C(=O)C=C(C(=O)[O-])Cl', '[O]', '[O-]C(=O)C1=[C][C]=C([C]=[C]1)N=Nc1ccc(cc1)C(=O)[O-]']",rna
78,hMOF-23907,['[Zn][Zn]'],"['[O-]C(=O)c1c(N)c(N)c(c2c1c(N)ccc2N)C(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]', 'Nc1ccc2c(c1)nccn2']",pcu
79,hMOF-5037903,['[Zn][Zn]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'Brc1cnc2c(c1Br)c1cncc(c1c(c2)Br)Br']",pcu
80,hMOF-32428,['[Cu][Cu]'],"['[O-]C(=O)C=C(C(=C(C(=O)[O-])F)F)F', 'Fc1cc(N=Nc2c(F)cnc(c2F)F)cc(n1)F', 'Fc1cc(ccc1N=Nc1ccc(c(c1)F)C(=O)[O-])C(=O)[O-]']",pcu
81,hMOF-23018,['[Zn][Zn]'],"['[O-]C(=O)c1cc(Cl)c(c2c1C(Cl)C2(Cl)Cl)C(=O)[O-]', 'Clc1nc(Cl)c2c(c1)c(Cl)ncc2', '[O-]C(=O)c1c(Cl)c(Cl)c(c2c1CC2(Cl)Cl)C(=O)[O-]']",pcu
82,hMOF-35777,['[Cu][Cu]'],"['[O-]C(=O)c1cc2c3cccc(c3ccc2c(c1Cl)Cl)C(=O)[O-]', 'N1=CC=C([C]=C1)N=Nc1ccncc1', '[O-]C(=O)c1ccc(cc1)N=Nc1cc(Cl)c(c(c1)Cl)C(=O)[O-]', 'N1=C[C]=C(C=C1)N=Nc1ccncc1']",pcu
83,hMOF-27216,['[Zn][Zn]'],"['Clc1c2cncc3c2c2c(c1Cl)cncc2c(c3Cl)Cl', '[O-]C(=O)C1=[C]c2c(C=C1)cc(c1-c3c(C=[C]c21)ccc(c3)C(=O)[O-])Cl', '[O-]C(=O)C1=CC=C2C(=[C]1)C1=C([C]=C2Cl)C2=[C]C(=C(C=C2C(=[C]1)Cl)Cl)C(=O)[O-]']",pcu
84,hMOF-1001000,['[V]'],"['COc1cc(C#Cc2cc(OC)c(c(c2)OC)C(=O)[O-])ccc1C(=O)[O-]', 'COC(=CC(=O)[O-])C(=O)[O-]', '[O]']","rna,UNKNOWN"
85,hMOF-2081,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#Cc1cc(N)c(cc1N)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1ccc(c(c1N)N)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1cc(N)c(c(c1)N)C#CC(=O)[O-]']",pcu
