,cif,nodes_cansmi,linkers_cansmi,rcsr
10,hMOF-7003084,['[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43'],"['BrOC1=c2ccc3c4c2c(=C(N1C1=[C]C(=C(C=[C]1)C(=O)[O-])Br)OBr)c(Br)cc4c1c2=C4C(=C(OBr)N(C(=C4C=[C]1)OBr)C1=[C]C=C(C(=[C]1)Br)C(=O)[O-])C=[C]c32', '[O-]C(=O)C1=[C]C2([C]3C([C]1)C1[CH]C([CH]C2C31)(Br)C(=O)[O-])Br', '[O-]C(=O)C1=Cc2c(C(=[C]1)Br)cc(cc2Br)C(=O)[O-]', '[O-]C(=O)C1=C(Br)c2c(C=[C]1)cc(c(c2)Br)C(=O)[O-]']",hex
11,hMOF-5009189,['[Zn][O]([Zn])([Zn])[Zn]'],"['[NH]N=C([C](C#CC(=O)[O-])N=N)C#CC(=O)[O-]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[NH]N=C(C#CC(=O)[O-])[CH]C#CC(=O)[O-]', 'N=NC(=C(C#CC(=O)[O-])N=N)C#CC(=O)[O-]']",pcu
12,hMOF-30961,['[Cu][Cu]'],"['COc1nccc(c1)C#CC1=C(OC)C(=[N]=C([C]1[O])OC)OC', '[CH2]OC(=CC([O])[O])C(=O)[O-]', 'COc1cc(C(=O)[O-])c(cc1C#Cc1ccc(cc1)C(=O)[O-])OC']",pcu
13,hMOF-5017687,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC12C3(Br)C4C1(Br)C1(C2(C3(C41C#CC(=O)[O-])Br)Br)Br', '[O-]C(=O)C=CC=C(C(=O)[O-])Br', '[O-]C(=O)C=C(C=C(C(=O)[O-])Br)Br']",pcu
14,hMOF-18564,[],[],
15,hMOF-5074852,['[Cu][Cu]'],"['Brc1cc2c(Br)nc(c3c2c2c1cnc(c2c(c3Br)Br)Br)Br', '[O-]C(=O)C1=CC=C(C=[C]1)C=[C]c1ccc(cc1Br)C(=O)[O-]', '[O-]C(=O)c1cc2cc(Br)c3c4c2c(c1Br)ccc4c(c(c3)C(=O)[O-])Br', '[O-]C(=O)C1=[C]C=C(C=C1)C=[C]c1ccc(cc1Br)C(=O)[O-]']",pcu
16,hMOF-5028124,[],[],
17,hMOF-5022708,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCOc1c(cc(c(c1OCC)C(=O)[O-])OCC)C(=O)[O-]', 'CCOc1cc(C(=O)[O-])c(c(c1C1=N[N]C(=NN1)c1c(OCC)cc(c(c1OCC)OCC)C(=O)[O-])O[CH]C)OCC', 'CCOc1cc(ccc1C(=O)[O-])C(=O)[O-]']","pcu,sql"
18,hMOF-6004000,[],[],
19,hMOF-5037900,['[Zn][Zn]'],['Brc1nc2=[C]C=c3c(=c2cc1Br)cncc3'],pcu
20,hMOF-5018109,['[Zn][O]([Zn])([Zn])[Zn]'],"['N=Nc1ccc2c(c1)c(ccc2C(=O)[O-])C(=O)[O-]', 'N=Nc1cc(C(=O)[O-])c2c(c1C(=O)[O-])cccc2N=N', 'N=NC12C3(N=N)C4C1(C#CC(=O)[O-])C1(C2(C3(C41N=N)C#CC(=O)[O-])N=N)N=N']",pcu
21,hMOF-5080598,['[Cu][Cu]'],"['N=NC1=C2C3=C(C=C(C4=C5N6[C](C(=C1N=N)[C]34)ON([NH])c1c6c(N(O5)[NH])c(c(c1)C(=O)[O-])N=N)N=N)[C]1N(C2=O)c2cc(N=N)c(c(c2N(O1)[NH])N=N)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)N1C(=O)[C]2C=CC3=c4c2c(C1=O)ccc4=C1N2[C]3ON([NH])c3c2c(N(O1)[NH])cc(c3)C(=O)[O-]', 'N=NC12C3N4C2C2(N1C3C42)N=N']",pcu
22,hMOF-5043377,['[Zn][Zn]'],"['N=CC(=N)C', '[O-]C(=O)C#CC12CC(C)C(C(C1C)C)(C(C2C)C)C#CC(=O)[O-]', '[O-]C(=O)C=CC(=CC(=O)[O-])C']",pcu
23,hMOF-1001345,['[V]'],"['[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-]', '[O]', 'NC(=CC=C(C(=O)[O-])N)C(=O)[O-]']",rna
24,hMOF-5066455,['[Cu][Cu]'],"['N#N', '[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C12CC(C)C(C(C1C)C)(C(C2C)C)C(=O)[O-]']",
25,hMOF-6327,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(cc1c1ccccc1)N=Nc1ccc(c(c1c1ccccc1)c1ccccc1)C(=O)[O-]', '[O-]C(=O)C=C(C(=C(c1ccccc1)C(=O)[O-])c1ccccc1)c1ccccc1', '[O-]C(=O)c1ccc(cc1c1ccccc1)N=Nc1c(c2ccccc2)c(c2ccccc2)c(c(c1c1ccccc1)c1ccccc1)C(=O)[O-]']",pcu
26,hMOF-22913,['[Zn][Zn]'],"['[O-]C(=O)c1cc2c(N)cc(c(c2c(c1N)N)N)C(=O)[O-]', 'Nc1nc(N)c(c(c1N)c1ccncc1)N', '[O-]C(=O)c1cc2ccc(c(c2cc1N)N)C(=O)[O-]']",pcu
27,hMOF-5027911,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C(=CC(=C(C(=O)[O-])Cl)Cl)Cl', 'ClC(=CC=C(C(=O)[O-])Cl)C(=O)[O-]', 'ClO[C]1N(C2=[C]C(=C(C=[C]2)C(=O)[O-])Cl)C(=C2[C]3C1=CC(=C1C3=C(C=C2)C(=O)N(C1=O)c1ccc(c(c1)Cl)C(=O)[O-])Cl)OCl']",pcu
28,hMOF-5017558,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C=CC(=CC(=O)[O-])F', '[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])F)F)F']",pcu
29,hMOF-3001484,[],[],
30,hMOF-5023036,['[Zn][O]([Zn])([Zn])[Zn]'],"['N=Nc1cc(cc(c1c1cc(N=N)c(c(c1N=N)N=N)C(=O)[O-])N=N)c1c(N=N)cc(c(c1N=N)N=N)C(=O)[O-]', 'N=Nc1cc(cc(c1c1ccc2c(c1)n1[nH]n([nH]1)c1c2cc2[N]NOC(=O)c2c1)N=N)C(=O)[O-]', 'N=Nc1cc(cc(c1c1nnc(nn1)c1ccc(c(c1)N=N)C(=O)[O-])N=N)C(=O)[O-]']",pcu
31,hMOF-8733,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C(=O)[O-]', '[O-]C(=O)C=CC=C(C(=O)[O-])O', '[O-]C(=O)C=C(C=C(C(=O)[O-])O)O']",pcu
32,hMOF-6000100,['[V]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C1=[C]C(=C(C=C1[O])c1c(O)cc(c(c1O)O)c1cc(O)c(c(c1O)O)C(=O)[O-])O', '[O]']",rna
33,hMOF-5022754,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C1=C(Cl)[C]=C(C=C1Cl)C1=C[C]=C(C([C]1)(Cl)Cl)C(=O)[O-]', 'ClOC(=O)C1=CC(=C(C(=[C]1)Cl)c1nnc(nn1)C1=C(Cl)[C]=C([C]=C1)C(=O)[O-])Cl', 'ClOC(=O)C1=CC(=C(C(=[C]1)Cl)c1nnc(nn1)C1=C[C]=C([C]=C1Cl)C(=O)[O-])Cl', '[O-]C(=O)c1ccc(cc1)C1=C(Cl)C(C(=C[CH]1)C(=O)[O-])(Cl)Cl']",UNKNOWN
34,hMOF-6003348,['[V]'],"['N=NC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42)N=N)C#CC(=O)[O-])N=N', 'N=Nc1cc(C(=O)[O-])c(cc1N=Nc1ccc(c(c1)N=N)C(=O)[O-])N=N', '[O]']",rna
35,hMOF-5042855,['[Zn][Zn]'],"['N=NC1(N=N)CC2(C#CC(=O)[O-])C3CC1(C#CC(=O)[O-])CC2(N=N)[N]NN3[NH]', 'N#N', '[O-]C(=O)C#CC(=O)[O-]']",
36,hMOF-20809,['[Zn][Zn]'],"['C1C(C#N)c2c1nccn2', 'N#CC(=CC(=O)[O-])C=CC(=O)[O-]', 'N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])CC2(C#N)C#N']",pcu
37,hMOF-5046057,['[Zn][Zn]'],"['NC12N3C4C2N2C1C3C42N', '[O-]C(=O)C#CC12CC(N)(N)C(C(C1N)N)(C(C2N)(N)N)C#CC(=O)[O-]', '[O-]C(=O)C12C3C4C1C1(C2C3(C41C(=O)[O-])N)N']",pcu
38,hMOF-11755,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#Cc1ccc(c(c1F)F)C#CC(=O)[O-]', 'FOC(=O)c1c2[C]=C(F)C(=C(c2c(c2c1cc(F)cc2F)C(=O)[O-])F)F', '[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-]']",pcu
39,hMOF-28939,['[Cu][Cu]'],"['[O-]C(=O)c1cc(Br)c(cc1Br)C#Cc1cc(Br)c(cc1Br)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1cc(Br)c(c(c1)Br)C(=O)[O-]', 'BrC1=NC=[C]C(=[C]1)c1ccnc(c1)Br']",pcu
40,hMOF-5076375,['[Cu][Cu]'],"['[O-]C(=O)c1ccc(cc1Cl)c1nnc(nn1)c1ccc(c(c1)Cl)C(=O)[O-]', 'Clc1cc(C(=O)[O-])c(cc1C#Cc1c(Cl)cc(c(c1Cl)Cl)C(=O)[O-])Cl', 'Clc1ncc(c(c1)C#Cc1c(Cl)cncc1Cl)Cl']",pcu
41,hMOF-5006958,['[Zn][O]([Zn])([Zn])[Zn]'],"['Fc1cc(C(=O)[O-])c(c(c1N=Nc1ccc(cc1)C(=O)[O-])F)F', 'FC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'Fc1c(N=Nc2ccc(cc2)C(=O)[O-])c(F)c(c(c1F)C(=O)[O-])F']",pcu
42,hMOF-6001746,['[V]'],"['[O-]C(=O)C(=O)[O-]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O]']",rna
43,hMOF-5025543,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCCC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'CCCC(=C(C#CC(=O)[O-])CCC)C#CC(=O)[O-]', 'CCCc1cc(ccc1C1=N[N]C(=N[N]1)c1cc(CCC)c(cc1CCC)C(=O)[O-])C(=O)[O-]']",pcu
44,hMOF-2000325,['[Zn][Zn]'],"['N#Cc1c(C#Cc2cc(C#N)c(c(c2C#N)C#N)C(=O)[O-])cc(cc1C#Cc1c(C#N)cc(c(c1C#N)C#N)C(=O)[O-])C#Cc1cc(C#N)c(c(c1C#N)C#N)C(=O)[O-]', 'N#Cc1c(cc(c(c1C(=O)[O-])C#N)C(=O)[O-])C(=O)[O-]', 'N#Cc1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]', 'N#Cc1c(C#Cc2cc(C#Cc3ccc(cc3)C(=O)[O-])cc(c2)C#Cc2cc(C#N)c(c(c2)C#N)C(=O)[O-])ccc(c1C#N)C(=O)[O-]', 'N#Cc1c(C#Cc2ccc(cc2)C(=O)[O-])cc(c(c1C#Cc1ccc(c(c1)C#N)C(=O)[O-])C#N)C#Cc1ccc(cc1C#N)C(=O)[O-]', 'N#Cc1c(C#Cc2ccc(cc2)C(=O)[O-])c(C#N)c(c(c1C#Cc1cc(C#N)c(cc1C#N)C(=O)[O-])C#N)C#Cc1c(C#N)cc(c(c1C#N)C#N)C(=O)[O-]']",tbo
45,hMOF-5005278,[],[],
46,hMOF-5054925,['[Zn][Zn]'],"['[O-]C(=O)c1ccc2c(c1F)cc(c(c2F)C(=O)[O-])F', 'Fc1nccc2c1ccnc2F', '[O-]C(=O)c1ccc(cc1F)N1C(=O)c2cc(F)c3c4c2c(C1=O)c(F)c(c4C(=O)N(C3=O)c1cc(F)c(c(c1F)F)C(=O)[O-])F']",pcu
47,hMOF-5069502,['[Cu][Cu]'],['N#Cc1cc(ccc1c1ccc(c(c1)C#N)C(=O)[O-])c1c(C#N)cc(cc1C#N)C(=O)[O-]'],sql
48,hMOF-5064840,['[Cu][Cu]'],"['COC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'CON=C(C=N)OC', 'COC(=C(C(=O)[O-])OC)C=CC(=O)[O-]']",pcu
49,hMOF-5022618,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(cc1Cl)c1nnc(nn1)c1c(Cl)cc(c(c1Cl)Cl)C(=O)[O-]', '[O-]C(=O)c1cc(Cl)c(c(c1Cl)Cl)C(=O)[O-]', '[O-]C(=O)c1cc(Cl)c(c(c1)Cl)C(=O)[O-]']",pcu
50,hMOF-5060661,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)c1cc2cc(F)c3c4c2c(c1)c(F)cc4c(c(c3F)C(=O)[O-])F', 'Fc1cc2cnc(c3c2c2c1cncc2cc3F)F']",pcu
51,hMOF-23398,['[Zn][Zn]'],"['N#Cc1nccc(c1)N=Nc1cc(C#N)ncc1C#N', 'N#Cc1cc2cc(cc(c2cc1C(=O)[O-])C#N)C(=O)[O-]', 'N#Cc1cc(N=Nc2c(C#N)c(C#N)c(c(c2C#N)C#N)C(=O)[O-])c(c(c1C(=O)[O-])C#N)C#N']",pcu
52,hMOF-5017483,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C=CC(=O)[O-]', '[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])C', '[O-]C(=O)C=C(C(=O)[O-])C']",pcu
53,hMOF-5047862,['[Zn][Zn]'],"['N=NC1=[N]=C(N=N)c2c3C1=CC(=N[NH])c1c3c3c(c2)[N][NH]2N(c3nc1)N2', 'N=NC12C3C4C2(C2C1C3(C42N=N)C#CC(=O)[O-])C#CC(=O)[O-]', 'N=NC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42)N=N)C#CC(=O)[O-])N=N', 'N=NC1=C2C=NC3=C4[C]2C2=C(C(=[N]=C(C2=C1)N=N)N=N)C=C4[N][NH]1N3N1']",pcu
54,hMOF-5011817,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCC1CC2(C#CC(=O)[O-])C(C(C1(C#CC(=O)[O-])C(C2(CC)CC)CC)CC)CC', 'CCc1cc(C(=O)[O-])c(cc1C#Cc1ccc(c(c1)CC)C(=O)[O-])CC', 'C[O]', 'CCc1cc(ccc1C#Cc1cc([CH2])c(c(c1)CC)[C][O])C(=O)[O-]']","pcu,sql"
55,hMOF-34483,['[Cu][Cu]'],"['COc1c(C#CC(=O)[O-])ccc(c1[O])C#CC(=O)[O-]', 'COc1cc2c(C(=O)[O-])c(OC)cc(c2cc1OC)C(=O)[O-]', 'N#Cc1cc(OC)c(c(c1)OC)C#N']",pcu
56,hMOF-32205,['[Cu][Cu]'],"['N#N', '[O-]C(=O)C#CC(=O)[O-]', '[CH2]OC(=C(C([O])[O])OC)C=CC(=O)[O-]']",
57,hMOF-35010,['[Cu][Cu]'],"['ClC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-]', 'Clc1nc2CC(c2nc1Cl)(Cl)Cl', '[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-]']",pcu
58,hMOF-8996,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C1=C(C)[C]=C(C(=C1)C)c1ccc(cc1C)c1c(C)cc(c(c1C)C)C(=O)[O-]', '[O-]C(=O)c1cc(C)c2c(c1C)ccc(c2C)C(=O)[O-]', 'Cc1cc(ccc1c1ccc(c(c1)C)C(=O)[O-])c1ccc(c(c1C)C)C(=O)[O-]']",pcu
59,hMOF-2577,['[Zn][O]([Zn])([Zn])[Zn]'],"['Br[C]1Cc2c1c(cc(c2C(=O)[O-])Br)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1Br)C(=O)[O-]', '[O-]C(=O)c1cc(Br)c(c2c1CC2(Br)Br)C(=O)[O-]']",pcu
60,hMOF-6000379,['[V]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]', '[O]']",rna
61,hMOF-5051707,['[Zn][Zn]'],"['CCOc1c(ccnc1OCC)C#Cc1ccncc1[O]', 'CCOc1cc(C(=O)[O-])c(cc1C#Cc1cc(OCC)c(cc1OCC)C(=O)[O-])OCC', 'CCOc1cc(ccc1C1=NN=C(N[N]1)c1ccc(c(c1O[CH]C)OCC)C(=O)[O-])C(=O)[O-]']",pcu
62,hMOF-5055431,['[Zn][Zn]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-]', 'N#CC#CC#N']",pcu
63,hMOF-5071537,['[Cu][Cu]'],"['N#CC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])C#N', '[O-]C(=O)C#CC(=O)[O-]', 'N#N']",
64,hMOF-5064530,['[Cu][Cu]'],"['[O-]C(=O)C=C(C(=O)[O-])F', 'FN=N']",
65,hMOF-5077215,[],[],
66,hMOF-5022670,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(c(c1c1ccccc1)c1ccccc1)C(=O)[O-]', '[O-]C(=O)c1c(cc(c(c1c1ccccc1)c1ccccc1)C(=O)[O-])c1ccccc1', '[O-]C(=O)c1ccc(c(c1)C1=CC=CC=[C]1)C1=NNC(=NN1)c1ccc(cc1C1=[C]C=CC=C1)C(=O)[O-]']",pcu
67,hMOF-5048448,['[Zn][Zn]'],"['N=NC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42)N=N)C#CC(=O)[O-])N=N', 'N#CC=C(C#N)N=N', 'N=NC(=CC#CC(=O)[O-])C#CC(=O)[O-]']",pcu
68,hMOF-5077430,['[Cu][Cu]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', 'N#CC#N', 'CCc1cc(cc(c1c1nnc(nn1)c1ccc(c(c1CC)CC)C(=O)[O-])CC)C(=O)[O-]']",pcu
69,hMOF-5005696,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",pcu
70,hMOF-5072032,['[Cu][Cu]'],"['N=N', '[CH2]OC(=CC([O])[O])C(=O)[O-]', 'COC12C3(OC)C4C1(C#CC(=O)[O-])C1(C2(C3(C41OC)C#CC(=O)[O-])OC)OC']",
71,hMOF-1002776,['[V]'],"['COc1cc(OC)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(OC)ccc1OC', '[O-]C(=O)C1=Cc2c([C]=C1)cc(cc2O)C(=O)[O-]', '[O]']",UNKNOWN
72,hMOF-5001436,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', 'N#CC(=CC(=O)[O-])C(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]']",pcu
73,hMOF-5072349,['[Cu][Cu]'],"['COC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42)OC)C#CC(=O)[O-])OC', 'COC12C3(C#N)C4(C2(C2(C1(C3(C42OC)OC)OC)C#N)OC)OC', 'COC12C3C4C2(C2(C1C3(C42OC)C#CC(=O)[O-])OC)C#CC(=O)[O-]']",pcu
74,hMOF-5083015,['[Cu][Cu]'],"['COc1c(OC)c(C(=O)[O-])c(c(c1N1C(=O)C2=c3c(C1=O)c([O])c(c1c3c([C]=C2)c2c([O])c(OC)c3c4c2c1ccc4C(=O)N(C3=O)c1ccc(c(c1)OC)C(=O)[O-])OC)OC)OC', 'COC1=N[CH]C=C([CH]1)C=CC1=C(OC)[CH]N=C([CH]1)OC', 'COc1c(OC)c(C(=O)[O-])c(c(c1N1C(=O)c2ccc3c4c2c(C1=O)c(OC)cc4c1c2c3c(OC)cc3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1)OC)C(=O)[O-])[O])OC']",pcu
75,hMOF-5011460,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(c2c1C(O)C2(O)O)C(=O)[O-]', '[O-]C(=O)C#CC12CC(O)C(C(C1)O)(C(C2O)O)C#CC(=O)[O-]', '[O-]C(=O)c1c(O)c(O)c(c2c1C(O)C2(O)O)C(=O)[O-]']",pcu
76,hMOF-24670,['[Zn][Zn]'],"['Oc1ccc2c(c1O)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)ccc1O', 'Oc1cc(ccc1C#Cc1ccc(cc1O)C(=O)[O-])C(=O)[O-]', 'Oc1ncc(c(c1)C#Cc1ccncc1O)O']",pcu
77,hMOF-5040978,['[Zn][Zn]'],"['N#CC(=C(C#N)Cl)Cl', '[O-]C(=O)C#CC=CC#CC(=O)[O-]']",pcu
78,hMOF-5065012,['[Cu][Cu]'],"['N#CC(=CC#CC(=O)[O-])C#CC(=O)[O-]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', 'N#CC=CC#N']",pcu
79,hMOF-5049462,['[Zn][Zn]'],"['[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1c1ccccc1)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C=C(c1ccc(cc1c1ccccc1)C(=O)[O-])c1ccccc1', 'c1ccc(cc1)c1c(ccnc1c1ccccc1)N=Nc1ccncc1']",pcu
80,hMOF-7789,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C=CC=C(C(=O)[O-])Cl', 'ClC(=C(C(=O)[O-])Cl)C(=C(C(=O)[O-])Cl)Cl', 'ClC(=CC=C(C(=O)[O-])Cl)C(=O)[O-]']",pcu
81,hMOF-5071475,['[Cu][Cu]'],"['N=NC12C3C4C2(C2C1C3(C42N=N)C#CC(=O)[O-])C#CC(=O)[O-]', 'N=NC1Cc2c1c(C(=O)[O-])c(c(c2C(=O)[O-])N=N)N=N', 'N=Nc1nc2CC(c2nc1N=N)(N=N)N=N']",pcu
82,hMOF-5029643,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC12C3C4(C2(C2C1(C3(C42C#CC(=O)[O-])O)O)O)O', 'OO[C]1N(C2=[C]C(=C(C(=C2)O)C(=O)[O-])O)C(=O)[C]2c3c1c(O)c(O)c1=C(OO)N([C](C(=c31)C=C2O)OO)C1=[C]C=C(C=[C]1)C(=O)[O-]', '[O-]C(=O)C#CC12C3C4C1(O)C1(C2(C3(C41C#CC(=O)[O-])O)O)O']",pcu
83,hMOF-5060811,['[Cu][Cu]'],"['Clc1cncc(n1)Cl', '[O-]C(=O)c1ccc(c(c1Cl)Cl)C(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",pcu
84,hMOF-5021571,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc2c(-c3ccc4=CC(=C([C]=c4c3[C]=C2)C(=O)[O-])O)c1', '[O-]C(=O)c1cc2c3c(O)cc4c(c3ccc2c(c1O)O)c(O)c(cc4O)C(=O)[O-]', '[O-]C(=O)C1=C[C]=C(C(=C1)O)C=[C]c1c(O)cc(c(c1O)O)C(=O)[O-]']",pcu
85,hMOF-6004562,['[V]'],"['Brc1c(Br)ccc2c1c(C(=O)[O-])c1c(c2C(=O)[O-])c(Br)c(cc1Br)Br', '[O-]C(=O)c1ccc(cc1)c1nnc(nn1)C1=CC(=C(C=[C]1)C(=O)[O-])Br', '[O]']",rna
86,hMOF-5007328,['[Zn][O]([Zn])([Zn])[Zn]'],"['N=NC1=C([N]NOC1=O)C(=O)[O-]', '[NH]N=c1c(=O)o[nH]nc1C(=O)[O-]', '[NH]N=C(C#CC(=O)[O-])[CH]C#CC(=O)[O-]']",pcu
87,hMOF-18575,[],[],
88,hMOF-11759,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-]', 'ClOC(=O)c1c2cc(Cl)c(cc2c(c2=C(C=C[C]=c12)Cl)C(=O)[O-])Cl', '[O-]C(=O)C#Cc1cc(Cl)c(c(c1)Cl)C#CC(=O)[O-]']",pcu
